MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1157028052409,16.97,0.10,140.99500,58.81856,54070.37112,0
1157028052409,16.88,0.10,140.99504,58.81861,54070.37478,0
1157028052409,16.93,0.10,140.99522,58.81864,54070.37847,0
1157028052409,16.94,0.10,140.99485,58.81854,54070.38214,0
1157028052409,16.67,0.08,140.99501,58.81846,53767.23009,0
1157028052409,16.71,0.08,140.99489,58.81853,53767.23506,0
1157028052409,16.68,0.08,140.99493,58.81854,53767.23995,0
1157028052409,16.74,0.08,140.99494,58.81854,53767.24489,0
1157028052409,16.74,0.08,140.99474,58.81846,53746.22409,0
1157028052409,16.78,0.08,140.99518,58.81846,53746.22901,0
1157028052409,16.62,0.08,140.99505,58.81842,53746.23397,0
1157028052409,16.78,0.08,140.99503,58.81856,53746.23888,0
1157028052409,16.95,0.08,140.99502,58.81855,54062.39322,0
1157028052409,16.94,0.08,140.99489,58.81853,54062.39973,0
1157028052409,16.93,0.08,140.99506,58.81852,54062.40622,0
1157028052409,16.93,0.08,140.99508,58.81855,54062.41281,0
1157028052409,16.82,0.08,140.99511,58.81858,54208.21675,0
1157028052409,16.80,0.08,140.99507,58.81851,54208.22497,0
1157028052409,16.79,0.08,140.99512,58.81853,54208.23318,0
1157028052409,16.85,0.08,140.99511,58.81856,54208.24138,0
1157028052409,16.82,0.08,140.99513,58.81859,54128.19230,0
1157028052409,16.83,0.08,140.99507,58.81862,54128.19898,0
1157028052409,16.88,0.08,140.99483,58.81861,54128.20568,0
1157028052409,16.86,0.08,140.99499,58.81847,54128.21236,0
1157028052409,16.77,0.08,140.99501,58.81859,54803.44558,0
1157028052409,16.71,0.08,140.99488,58.81850,54803.44996,0
1157028052409,16.81,0.08,140.99478,58.81857,54803.45421,0
1157028052409,16.80,0.08,140.99488,58.81852,54803.45857,0
1157028052409,16.74,0.08,140.99487,58.81846,54803.46293,0
1157028052409,16.70,0.08,140.99498,58.81852,54945.22290,0
1157028052409,16.72,0.08,140.99496,58.81858,54945.22937,0
1157028052409,16.72,0.08,140.99494,58.81854,54945.23576,0
1157028052409,16.77,0.08,140.99468,58.81855,54945.24216,0
1157028052409,16.73,0.08,140.99486,58.81848,55184.35352,0
1157028052409,16.81,0.08,140.99473,58.81854,55184.35948,0
1157028052409,16.79,0.08,140.99483,58.81853,55184.36541,0
1157028052409,16.82,0.08,140.99481,58.81849,55184.37132,0
1157028052409,16.70,0.07,140.99472,58.81855,54863.23258,0
1157028052409,16.71,0.07,140.99473,58.81853,54863.23759,0
1157028052409,16.72,0.07,140.99487,58.81849,54863.24257,0
1157028052409,16.76,0.08,140.99490,58.81853,54863.24758,0
1157028052409,16.74,0.08,140.99485,58.81853,54889.21459,0
1157028052409,16.82,0.10,140.99490,58.81860,54852.26890,0
1157028052409,16.49,0.09,140.99510,58.81850,54852.27258,0
1157028052409,16.57,0.09,140.99511,58.81842,54852.27639,0
1157028052409,16.72,0.08,140.99497,58.81853,54852.28012,0
1157028052409,16.71,0.07,140.99491,58.81852,54913.28504,0
1157028052409,16.72,0.07,140.99495,58.81859,54913.29049,0
1157028052409,16.71,0.07,140.99504,58.81853,54913.29586,0
1157028052409,16.76,0.08,140.99486,58.81857,54913.30125,0
1157028052409,16.78,0.08,140.99498,58.81856,55141.43808,0
1157028052409,16.77,0.08,140.99497,58.81852,55141.44190,0
1157028052409,16.76,0.08,140.99489,58.81852,55141.44570,0
1157028052409,16.75,0.08,140.99497,58.81850,55141.44942,0
1157028052409,16.86,0.08,140.99490,58.81853,55159.38996,0
1157028052409,16.77,0.08,140.99484,58.81848,55159.39484,0
1157028052409,16.77,0.08,140.99487,58.81848,55159.39971,0
1157028052409,16.82,0.08,140.99481,58.81853,55159.40458,0
1157028052409,16.79,0.08,140.99470,58.81852,55544.39097,0
1157028052409,16.81,0.08,140.99480,58.81858,55544.39910,0
1157028052409,16.80,0.08,140.99485,58.81868,55544.40312,0
1157028052409,16.77,0.08,140.99488,58.81856,55247.15543,0
1157028052409,16.93,0.08,140.99484,58.81853,55247.16001,0
1157028052409,16.90,0.08,140.99497,58.81856,55247.16463,0
1157028052409,16.89,0.08,140.99485,58.81857,55247.16923,0
1157028052409,16.85,0.08,140.99490,58.81842,55273.24516,0
1157028052409,16.86,0.08,140.99491,58.81840,55273.24919,0
1157028052409,16.82,0.08,140.99506,58.81841,55273.25321,0
1157028052409,16.86,0.08,140.99497,58.81846,55273.25727,0
1157028052409,16.89,0.08,140.99481,58.81862,55328.20094,0
1157028052409,16.84,0.08,140.99492,58.81855,55328.20670,0
1157028052409,16.82,0.08,140.99485,58.81853,55328.21247,0
1157028052409,16.91,0.08,140.99490,58.81862,55328.21826,0
1157028052409,16.78,0.08,140.99484,58.81858,55604.21000,0
1157028052409,16.70,0.08,140.99488,58.81846,55604.21458,0
1157028052409,16.56,0.07,140.99506,58.81858,55604.21918,0
1157028052409,16.58,0.07,140.99476,58.81853,55604.22380,0
1157028052409,16.77,0.08,140.99485,58.81850,55574.29984,0
1157028052409,16.72,0.08,140.99480,58.81853,55574.30484,0
1157028052409,16.64,0.08,140.99490,58.81866,55574.30986,0
1157028052409,16.78,0.08,140.99471,58.81867,55574.31488,0
1157028052409,16.77,0.09,140.99494,58.81875,55636.22542,0
1157028052409,16.68,0.09,140.99481,58.81872,55636.22909,0
1157028052409,16.69,0.09,140.99497,58.81865,55636.23272,0
1157028052409,16.61,0.08,140.99510,58.81870,55636.23642,0
1157028052409,16.70,0.08,140.99515,58.81849,55695.20807,0
1157028052409,16.64,0.08,140.99515,58.81856,55695.21270,0
1157028052409,16.67,0.08,140.99497,58.81856,55695.21755,0
1157028052409,16.74,0.09,140.99477,58.81849,55695.22223,0
1157028052409,16.71,0.07,140.99486,58.81851,54889.21551,0
1157028052409,16.69,0.07,140.99489,58.81849,54889.22097,0
1157028052409,16.75,0.08,140.99488,58.81854,54889.22646,0
1157028052409,16.75,0.08,140.99494,58.81850,54889.23190,0
1157028052409,16.80,0.08,140.99490,58.81850,55868.48901,0
1157028052409,16.78,0.08,140.99505,58.81847,55868.49353,0
1157028052409,16.80,0.08,140.99487,58.81849,55868.49809,0
1157028052409,16.76,0.08,140.99495,58.81842,55868.50258,0
1157028052409,16.77,0.08,140.99490,58.81845,55927.31412,0
1157028052409,16.81,0.08,140.99493,58.81844,55927.32048,0
1157028052409,16.81,0.08,140.99483,58.81844,55927.32688,0
1157028052409,16.79,0.08,140.99497,58.81842,55927.33323,0
1157028052409,16.84,0.08,140.99499,58.81845,55978.17430,0
1157028052409,16.84,0.08,140.99495,58.81844,55978.17714,0
1157028052409,16.78,0.08,140.99499,58.81843,55978.18002,0
1157028052409,16.80,0.08,140.99496,58.81847,55978.18291,0
1157028052409,16.81,0.08,140.99491,58.81842,55984.18707,0
1157028052409,16.80,0.08,140.99493,58.81841,55984.19214,0
1157028052409,16.82,0.08,140.99494,58.81846,55984.19720,0
1157028052409,16.83,0.08,140.99497,58.81840,55984.20231,0
1157028052409,16.66,0.08,140.99519,58.81834,55990.15930,0
1157028052409,16.77,0.08,140.99474,58.81839,55990.16268,0
1157028052409,16.79,0.08,140.99503,58.81844,55990.16607,0
1157028052409,16.81,0.08,140.99482,58.81846,55990.16952,0
1157028052409,16.86,0.08,140.99510,58.81842,56038.21251,0
1157028052409,16.82,0.08,140.99504,58.81843,56038.21752,0
1157028052409,16.83,0.08,140.99502,58.81846,56038.22261,0
1157028052409,16.78,0.08,140.99504,58.81846,56038.22765,0
1157028052409,16.75,0.07,140.99500,58.81844,56064.14684,0
1157028052409,16.74,0.07,140.99502,58.81844,56064.15295,0
1157028052409,16.78,0.07,140.99503,58.81841,56064.15898,0
1157028052409,16.73,0.07,140.99501,58.81845,56064.16509,0
1157028052409,16.76,0.07,140.99488,58.81841,56255.37967,0
1157028052409,16.77,0.07,140.99499,58.81844,56255.38785,0
1157028052409,16.79,0.07,140.99484,58.81852,56255.39608,0
1157028052409,16.78,0.07,140.99499,58.81849,56255.40433,0
1157028052409,16.77,0.07,140.99499,58.81846,56273.47812,0
1157028052409,16.71,0.07,140.99501,58.81840,56273.48290,0
1157028052409,16.67,0.07,140.99497,58.81843,56273.48773,0
1157028052409,16.74,0.07,140.99486,58.81844,56273.49258,0
1157028052409,16.68,0.08,140.99493,58.81847,56300.38323,0
1157028052409,16.69,0.08,140.99500,58.81848,56300.38656,0
1157028052409,16.68,0.08,140.99496,58.81845,56300.38995,0
1157028052409,16.68,0.08,140.99493,58.81846,56300.39336,0
1157028052409,16.69,0.07,140.99505,58.81844,56307.47236,0
1157028052409,16.70,0.07,140.99505,58.81845,56307.47920,0
1157028052409,16.68,0.07,140.99504,58.81847,56307.48608,0
1157028052409,16.67,0.07,140.99509,58.81842,56307.49297,0
1157028052409,16.70,0.08,140.99484,58.81850,56338.18771,0
1157028052409,16.64,0.08,140.99497,58.81846,56338.19389,0
1157028052409,16.67,0.08,140.99499,58.81843,56338.20015,0
1157028052409,16.69,0.08,140.99487,58.81848,56338.20638,0
1157028052409,16.75,0.08,140.99505,58.81852,56374.20881,0
1157028052409,16.72,0.08,140.99503,58.81852,56374.21443,0
1157028052409,16.66,0.08,140.99477,58.81850,56374.22004,0
1157028052409,16.56,0.07,140.99505,58.81839,56374.22569,0
1157028052409,16.78,0.14,140.99525,58.81842,55946.40263,0
1157028052409,16.79,0.15,140.99502,58.81843,55946.40292,0
1157028052409,16.81,0.15,140.99527,58.81855,55946.40320,0
1157028052409,16.80,0.15,140.99482,58.81849,55946.40349,0
1157028052409,16.80,0.08,140.99495,58.81842,55947.29648,0
1157028052409,16.80,0.08,140.99489,58.81843,55947.30208,0
1157028052409,16.76,0.08,140.99488,58.81841,55947.30781,0
1157028052409,16.81,0.08,140.99487,58.81841,55947.31352,0
1157028052409,16.69,0.08,140.99495,58.81849,56400.17482,0
1157028052409,16.69,0.08,140.99504,58.81847,56400.18101,0
1157028052409,16.65,0.08,140.99501,58.81848,56400.18725,0
1157028052409,16.62,0.08,140.99503,58.81842,56400.19347,0
1157028052409,16.73,0.08,140.99492,58.81839,56589.47431,0
1157028052409,16.76,0.08,140.99490,58.81838,56589.48192,0
1157028052409,16.76,0.08,140.99488,58.81844,56589.48950,0
1157028052409,16.71,0.08,140.99488,58.81839,56589.49710,0
